Tahun,Pesawat berangkat,Pesawat Datang,Penumpang Berangkat ,Penumpang Datang,USD,AUD,GBP,HKD,JPY,SGD,MYR,CAD,EUR,THB
2003,41149,41176,4281049,4214278,8573.402,5573.417,13997.84,1101.094,73.948,4919.063,2256.09,6124.62,9680.28,206.3702
2004,54481,54233,5359675,5380779,8934.648,6569.939,16380.11,1147.078,82.626,5286.109,2351.61,6877.14,11111.13,221.893
2005,56322,56203,5744631,5812458,9710.642,7398.917,17650.35,1248.62,88.223,5832.851,2564.58,8024.01,12069.7,240.9746
2006,56453,55610,5672214,5748730,9166.51,6906.039,16890.35,1180.56,78.882,5769.71,2499.26,8083.16,11514.87,241.7787
2007,49406,47971,6581348,6552583,9136.351,7652.636,18295.23,1170.949,77.637,6059.874,2655.79,8519.75,12504.64,265.9018
2008,56255,55786,7298373,7303343,9679.55,8180.39,17828.78,1243.273,94.196,6835.404,2901.67,9073.73,14174.1,289.9487
2009,62266,61680,8016229,8068039,10398.35,8163.044,16216.05,1341.404,111.116,7139.173,2948.88,9105.79,14435.12,302.4442
2010,70201,70011,9465611,9559458,9084.552,8352.914,14043.6,1169.264,103.643,6668.015,2823.1,8820.27,12058.53,286.634
2011,79231,79332,10745007,10829905,8779.492,9048.159,14066.38,1127.79,110.172,6976.943,2868.1,8873.29,12203.92,287.8736
2012,84962,85179,11749073,11808006,9380.386,9712.412,14865.51,1209.273,117.717,7508.899,3037.78,9385.56,12060.44,301.8102
2013,89375,89478,13221004,13136131,10451.37,10091.95,16379.18,1347.439,107.048,8352.074,3315.5,10140.33,13896.13,339.8388
2014,106827,107353,13694482,13245568,11878.3,10703.06,19551.15,1531.757,112.308,9371.665,3629.6,10752.68,15760.63,365.6069
2015,95647,95623,13625109,13175804,13391.97,10063.89,20473.22,1727.472,110.677,9738.282,3437.71,10484.83,14866.33,391.1296
2016,99054,99189,14801001,14462373,13307.38,9896.505,18044.25,1714.384,122.575,9634.557,3211.71,10043.49,14726.51,377.0938
2017,109248,110084,16665035,16253259,13384.13,10266.85,17243.5,1717.595,119.338,9698.028,3115.04,10328.64,15126.84,394.747
2018,119082,118810,18247272,17691252,10398.35,10643.89,19015.35,1817.774,128.945,10556.77,3528.92,11001.19,16824.33,440.7253
2019,118745,118611,19073159,18460312,14146.33,9828.417,18050.96,1805.503,129.86,10368.55,3414.44,10665.21,15836.21,456.0332
2020,34018,34069,3612521,3529923,14572.26,10065.6,18708.9,1878.805,136.608,10570.57,3469.88,10878.92,16647.93,465.9215
2021,17457,17263,631502,749484,14311.96,10758.17,19690.58,1841.294,130.399,10652.77,3454.37,11420.2,16932.87,448.1863
2022,47073,47098,7108207,6773129,14870.61,10289.56,18287.97,1890.229,113.226,10719.54,3364.36,11411.41,15567.21,421.8943
